,,,,,,,
?????,????? ???,?????? ???????,?????? ??????? ??? ????,?????? ?? ???????,?????? ??????? ?-100 ??? ??????,?????? ??????? ??? ???? ?-100 ??? ??????,?????? ?? ??????? ?-100 ??? ??????
14-03-2021,???? ???? 60,0,0,3,0,0,0.1
14-03-2021,??? ??? 60,3,0,16,0.2,0,6.7
15-03-2021,???? ???? 60,1,0,1,0,0,0
15-03-2021,??? ??? 60,2,0,9,0.2,0,3.8
15-03-2021,??? ?????????,3,0,10,0.1,0,0.2
16-03-2021,??? ?????????,1,0,11,0,0,0.3
16-03-2021,???? ???? 60,0,0,6,0,0,0.2
16-03-2021,??? ??? 60,1,0,5,0.1,0,2.1
17-03-2021,??? ?????????,1,0,7,0,0,0.2
17-03-2021,???? ???? 60,1,0,1,0,0,0
17-03-2021,??? ??? 60,0,0,6,0,0,2.6
18-03-2021,???? ???? 60,0,0,1,0,0,0
18-03-2021,??? ?????????,0,0,6,0,0,0.1
18-03-2021,??? ??? 60,0,0,5,0,0,2.2
19-03-2021,???? ???? 60,0,0,1,0,0,0
19-03-2021,??? ?????????,4,0,8,0.1,0,0.2
19-03-2021,??? ??? 60,4,0,7,0.3,0,3
20-03-2021,??? ?????????,1,0,5,0,0,0.1
20-03-2021,???? ???? 60,0,0,0,0,0,0
20-03-2021,??? ??? 60,1,0,5,0.1,0,2.2
21-03-2021,??? ?????????,4,0,10,0.1,0,0.2
21-03-2021,??? ??? 60,4,0,10,0.3,0,4.4
21-03-2021,???? ???? 60,0,0,0,0,0,0
22-03-2021,??? ?????????,2,0,10,0,0,0.2
22-03-2021,??? ??? 60,2,0,8,0.2,0,3.5
22-03-2021,???? ???? 60,0,0,2,0,0,0.1
23-03-2021,???? ???? 60,0,0,1,0,0,0
23-03-2021,??? ?????????,3,0,11,0.1,0,0.3
23-03-2021,??? ??? 60,3,0,10,0.2,0,4.4
24-03-2021,??? ??? 60,2,0,5,0.2,0,2.2
24-03-2021,???? ???? 60,0,0,1,0,0,0
24-03-2021,??? ?????????,2,0,6,0,0,0.1
25-03-2021,???? ???? 60,0,0,3,0,0,0.1
25-03-2021,??? ??? 60,2,0,2,0.2,0,0.9
25-03-2021,??? ?????????,2,0,5,0,0,0.1
26-03-2021,???? ???? 60,0,0,1,0,0,0
26-03-2021,??? ??? 60,1,0,6,0.1,0,2.7
26-03-2021,??? ?????????,1,0,7,0,0,0.2
27-03-2021,???? ???? 60,0,0,1,0,0,0
27-03-2021,??? ?????????,0,0,5,0,0,0.1
27-03-2021,??? ??? 60,0,0,4,0,0,1.8
28-03-2021,???? ???? 60,0,0,0,0,0,0
28-03-2021,??? ?????????,2,0,10,0,0,0.2
28-03-2021,??? ??? 60,2,0,10,0.2,0,4.5
29-03-2021,??? ??? 60,0,0,9,0,0,4
29-03-2021,??? ?????????,0,0,9,0,0,0.2
29-03-2021,???? ???? 60,0,0,0,0,0,0
30-03-2021,??? ??? 60,0,0,11,0,0,5
30-03-2021,??? ?????????,0,0,11,0,0,0.3
30-03-2021,???? ???? 60,0,0,0,0,0,0
31-03-2021,??? ??? 60,3,0,8,0.2,0,3.6
31-03-2021,???? ???? 60,0,0,3,0,0,0.1
31-03-2021,??? ?????????,3,0,11,0.1,0,0.3
01-04-2021,??? ??? 60,1,0,6,0.1,0,2.7
01-04-2021,??? ?????????,1,0,6,0,0,0.1
01-04-2021,???? ???? 60,0,0,0,0,0,0
02-04-2021,??? ?????????,1,0,12,0,0,0.3
02-04-2021,??? ??? 60,1,0,9,0.1,0,4.1
02-04-2021,???? ???? 60,0,0,3,0,0,0.1
03-04-2021,??? ??? 60,0,0,3,0,0,1.4
03-04-2021,???? ???? 60,0,0,3,0,0,0.1
03-04-2021,??? ?????????,0,0,6,0,0,0.1
04-04-2021,??? ?????????,2,0,5,0,0,0.1
04-04-2021,??? ??? 60,2,0,4,0.2,0,1.8
04-04-2021,???? ???? 60,0,0,1,0,0,0
05-04-2021,??? ??? 60,2,0,3,0.2,0,1.4
05-04-2021,???? ???? 60,0,0,0,0,0,0
05-04-2021,??? ?????????,2,0,3,0,0,0.1
06-04-2021,??? ??? 60,0,0,5,0,0,2.3
06-04-2021,???? ???? 60,0,0,0,0,0,0
06-04-2021,??? ?????????,0,0,5,0,0,0.1
07-04-2021,??? ??? 60,1,0,6,0.1,0,2.8
07-04-2021,???? ???? 60,0,0,0,0,0,0
07-04-2021,??? ?????????,1,0,6,0,0,0.1
08-04-2021,??? ??? 60,3,0,7,0.2,0,3.3
08-04-2021,??? ?????????,3,0,8,0.1,0,0.2
08-04-2021,???? ???? 60,0,0,1,0,0,0
09-04-2021,??? ?????????,1,0,8,0,0,0.2
09-04-2021,???? ???? 60,0,0,4,0,0,0.1
09-04-2021,??? ??? 60,1,0,4,0.1,0,1.9
10-04-2021,??? ?????????,2,0,6,0,0,0.1
10-04-2021,???? ???? 60,0,0,1,0,0,0
10-04-2021,??? ??? 60,2,0,5,0.2,0,2.4
11-04-2021,??? ?????????,1,0,4,0,0,0.1
11-04-2021,??? ??? 60,1,0,3,0.1,0,1.4
11-04-2021,???? ???? 60,0,0,1,0,0,0
12-04-2021,??? ?????????,2,0,2,0,0,0
12-04-2021,??? ??? 60,1,0,1,0.1,0,0.5
12-04-2021,???? ???? 60,1,0,1,0,0,0
13-04-2021,??? ?????????,2,0,9,0,0,0.2
13-04-2021,??? ??? 60,1,0,8,0.1,0,3.9
13-04-2021,???? ???? 60,1,0,1,0,0,0
14-04-2021,??? ?????????,0,0,2,0,0,0.1
14-04-2021,???? ???? 60,0,0,0,0,0,0
14-04-2021,??? ??? 60,0,0,2,0,0,1
15-04-2021,??? ?????????,1,0,2,0,0,0.1
15-04-2021,???? ???? 60,0,0,1,0,0,0
15-04-2021,??? ??? 60,1,0,1,0.1,0,0.5
16-04-2021,???? ???? 60,0,0,1,0,0,0
16-04-2021,??? ?????????,1,0,2,0,0,0.1
16-04-2021,??? ??? 60,1,0,1,0.1,0,0.5
17-04-2021,??? ??? 60,2,0,4,0.1,0,1.9
17-04-2021,??? ?????????,2,0,5,0,0,0.1
17-04-2021,???? ???? 60,0,0,1,0,0,0
18-04-2021,???? ???? 60,1,0,1,0,0,0
18-04-2021,??? ??? 60,0,0,2,0,0,1
18-04-2021,??? ?????????,1,0,3,0,0,0.1
19-04-2021,??? ??? 60,2,0,1,0.1,0,0.5
19-04-2021,???? ???? 60,0,0,0,0,0,0
19-04-2021,??? ?????????,2,0,1,0,0,0
20-04-2021,??? ?????????,0,0,3,0,0,0.1
20-04-2021,??? ??? 60,0,0,3,0,0,1.5
20-04-2021,???? ???? 60,0,0,0,0,0,0
21-04-2021,??? ?????????,0,0,1,0,0,0
21-04-2021,???? ???? 60,0,0,0,0,0,0
21-04-2021,??? ??? 60,0,0,1,0,0,0.5
22-04-2021,??? ??? 60,0,0,1,0,0,0.5
22-04-2021,???? ???? 60,0,0,1,0,0,0
22-04-2021,??? ?????????,0,0,2,0,0,0.1
23-04-2021,???? ???? 60,0,0,0,0,0,0
23-04-2021,??? ?????????,1,0,3,0,0,0.1
23-04-2021,??? ??? 60,1,0,3,0.1,0,1.5
24-04-2021,???? ???? 60,0,0,2,0,0,0.1
24-04-2021,??? ?????????,2,0,2,0,0,0.1
24-04-2021,??? ??? 60,2,0,0,0.1,0,0
25-04-2021,???? ???? 60,0,0,0,0,0,0
25-04-2021,??? ??? 60,0,0,1,0,0,0.5
25-04-2021,??? ?????????,0,0,1,0,0,0
26-04-2021,??? ??? 60,1,0,1,0.1,0,0.5
26-04-2021,???? ???? 60,0,0,0,0,0,0
26-04-2021,??? ?????????,1,0,1,0,0,0
27-04-2021,??? ??? 60,0,0,2,0,0,1
27-04-2021,??? ?????????,0,0,4,0,0,0.1
27-04-2021,???? ???? 60,0,0,2,0,0,0.1
28-04-2021,???? ???? 60,0,0,0,0,0,0
28-04-2021,??? ??? 60,0,0,0,0,0,0
28-04-2021,??? ?????????,0,0,0,0,0,0
29-04-2021,??? ??? 60,0,0,0,0,0,0
29-04-2021,???? ???? 60,1,0,0,0,0,0
29-04-2021,??? ?????????,1,0,0,0,0,0
30-04-2021,??? ??? 60,0,0,2,0,0,1
30-04-2021,???? ???? 60,0,0,0,0,0,0
30-04-2021,??? ?????????,0,0,2,0,0,0.1
01-05-2021,??? ??? 60,0,0,1,0,0,0.5
01-05-2021,???? ???? 60,0,0,0,0,0,0
01-05-2021,??? ?????????,0,0,1,0,0,0
02-05-2021,??? ?????????,0,0,1,0,0,0
02-05-2021,??? ??? 60,0,0,1,0,0,0.5
02-05-2021,???? ???? 60,0,0,0,0,0,0
03-05-2021,??? ?????????,2,0,0,0,0,0
03-05-2021,??? ??? 60,2,0,0,0.1,0,0
03-05-2021,???? ???? 60,0,0,0,0,0,0
04-05-2021,??? ?????????,0,0,2,0,0,0.1
04-05-2021,??? ??? 60,0,0,2,0,0,1
04-05-2021,???? ???? 60,0,0,0,0,0,0
05-05-2021,??? ?????????,0,0,2,0,0,0.1
05-05-2021,???? ???? 60,0,0,1,0,0,0
05-05-2021,??? ??? 60,0,0,1,0,0,0.5
06-05-2021,??? ?????????,0,0,2,0,0,0.1
06-05-2021,??? ??? 60,0,0,1,0,0,0.5
06-05-2021,???? ???? 60,0,0,1,0,0,0
07-05-2021,???? ???? 60,0,0,1,0,0,0
07-05-2021,??? ?????????,0,0,2,0,0,0.1
07-05-2021,??? ??? 60,0,0,1,0,0,0.5
08-05-2021,??? ?????????,0,0,1,0,0,0
08-05-2021,??? ??? 60,0,0,0,0,0,0
08-05-2021,???? ???? 60,0,0,1,0,0,0
09-05-2021,??? ?????????,0,0,1,0,0,0
09-05-2021,??? ??? 60,0,0,1,0,0,0.5
09-05-2021,???? ???? 60,0,0,0,0,0,0
10-05-2021,??? ??? 60,0,0,1,0,0,0.5
10-05-2021,???? ???? 60,0,0,1,0,0,0
10-05-2021,??? ?????????,0,0,2,0,0,0.1
11-05-2021,??? ??? 60,1,0,0,0.1,0,0
11-05-2021,???? ???? 60,0,0,0,0,0,0
11-05-2021,??? ?????????,1,0,0,0,0,0
